Movie Name,Genre,Studio,Country,Primary Language,Release Year,Duration,Avg Rating,Raters,Fans,Watched,Lists,Likes
Winchester ’73,Western,Universal International Pictures,USA,English,1950,"
					
					92 mins",3.83,"14,677 ratings",19 fans,"21,745 members","13,764 lists","5,499 members"
Angels with Dirty Faces,Drama,Warner Bros. Pictures,USA,English,1938,"
					
					97 mins",3.9,"11,975 ratings",70 fans,"19,160 members","13,428 lists","4,637 members"
Pillow Talk,Comedy,Arwin Productions,USA,English,1959,"
					
					102 mins",3.6,"16,080 ratings",109 fans,"26,201 members","10,746 lists","6,536 members"
Medusa Deluxe,Mystery,EMU Films,UK,English,2022,"
					
					101 mins",3.32,"15,545 ratings",25 fans,"19,034 members","5,919 lists","4,506 members"
The Grifters,Drama,Cineplex-Odeon Films,Canada,English,1990,"
					
					110 mins",3.43,"17,690 ratings",32 fans,"29,431 members","10,367 lists","4,992 members"
Season of the Witch,Fantasy,Atlas Entertainment,USA,English,2011,"
					
					95 mins",2.17,"28,508 ratings",10 fans,"53,366 members","6,454 lists","3,010 members"
"I Was Born, But…",Drama,Shochiku,Japan,No spoken language,1932,"
					
					91 mins",3.99,"10,642 ratings",66 fans,"16,585 members","12,767 lists","5,024 members"
National Lampoon’s Van Wilder,Comedy,Tapestry Films,USA,English,2002,"
					
					92 mins",2.73,"28,733 ratings",31 fans,"56,330 members","5,921 lists","5,851 members"
Fanboys,Adventure,The Weinstein Company,USA,English,2009,"
					
					90 mins",2.99,"26,432 ratings",64 fans,"47,162 members","5,467 lists","6,809 members"
Beckett,Crime,Frenesy Film,Brazil,English,2021,"
					
					109 mins",2.8,"22,475 ratings",5 fans,"28,224 members","5,399 lists","3,596 members"
Dark Glasses,Mystery,Urania Pictures,France,Italian,2022,"
					
					86 mins",2.79,"15,633 ratings",3 fans,"19,153 members","8,964 lists","3,497 members"
Frantz,History,FOZ,France,French,2016,"
					
					113 mins",3.77,"16,961 ratings",167 fans,"24,330 members","6,230 lists","5,758 members"
